treatment,replicate,fish,weight_g
Mix,1,1,2.0442
Mix,1,2,1.6065
Mix,1,3,1.5685
Mix,1,4,2.0793
Mix,1,5,1.179
Mix,1,6,1.5918
Mix,1,7,1.1552
Mix,1,8,0.8785
Mix,1,9,1.6548
Mix,1,10,1.7384
Mix,2,1,1.9596
Mix,2,2,0.6125
Mix,2,3,1.5175
Mix,2,4,1.0749
Mix,2,5,1.6554
Mix,2,6,1.3546
Mix,2,7,0.8728
Mix,2,8,2.3564
Mix,2,9,2.0795
Mix,2,10,1.3308
Mix,3,1,2.281
Mix,3,2,2.0477
Mix,3,3,1.5828
Mix,3,4,1.1448
Mix,3,5,1.3568
Mix,3,6,1.2447
Mix,3,7,2.3548
Mix,3,8,1.1651
Mix,3,9,2.8171
Mix,3,10,1.7162
Mix,4,1,1.6574
Mix,4,2,0.8454
Mix,4,3,1.2613
Mix,4,4,1.7662
Mix,4,5,1.6855
Mix,4,6,1.5247
Mix,4,7,0.5661
Mix,4,8,1.0751
Mix,4,9,1.0415
Mix,4,10,1.0348
Fish,1,1,2.4408
Fish,1,2,1.217
Fish,1,3,1.5435
Fish,1,4,0.8472
Fish,1,5,1.1991
Fish,1,6,1.1438
Fish,1,7,1.5434
Fish,1,8,0.9498
Fish,1,9,1.0134
Fish,1,10,2.1301
Fish,2,1,1.2719
Fish,2,2,2.0959
Fish,2,3,0.8503
Fish,2,4,0.4236
Fish,2,5,2.3475
Fish,2,6,1.5553
Fish,2,7,1.5116
Fish,2,8,1.5581
Fish,2,9,1.3232
Fish,2,10,1.5119
Fish,3,1,1.4983
Fish,3,2,1.0301
Fish,3,3,2.2228
Fish,3,4,0.5318
Fish,3,5,1.8273
Fish,3,6,0.7085
Fish,3,7,1.5604
Fish,3,8,0.7272
Fish,3,9,0.9396
Fish,3,10,0.6523
Fish,4,1,1.2394
Fish,4,2,0.7681
Fish,4,3,1.8217
Fish,4,4,1.754
Fish,4,5,0.8201
Fish,4,6,3.402
Fish,4,7,2.0202
Fish,4,8,1.3176
Fish,4,9,0.7485
Fish,4,10,0.551
Dissolved,1,1,0.7982
Dissolved,1,2,0.9273
Dissolved,1,3,1.3458
Dissolved,1,4,2.1255
Dissolved,1,5,0.3281
Dissolved,1,6,1.1789
Dissolved,1,7,1.4162
Dissolved,1,8,1.463
Dissolved,1,9,1.0241
Dissolved,1,10,0.6241
Dissolved,2,1,0.6278
Dissolved,2,2,2.3747
Dissolved,2,3,1.1696
Dissolved,2,4,1.0248
Dissolved,2,5,1.1274
Dissolved,2,6,0.9089
Dissolved,2,7,1.1719
Dissolved,2,8,0.5779
Dissolved,2,9,1.789
Dissolved,2,10,1.8849
Dissolved,3,1,1.18
Dissolved,3,2,1.7532
Dissolved,3,3,2.1422
Dissolved,3,4,0.5759
Dissolved,3,5,0.817
Dissolved,3,6,1.4931
Dissolved,3,7,0.8379
Dissolved,3,8,0.9919
Dissolved,3,9,0.8359
Dissolved,3,10,0.9915
Dissolved,4,1,1.6702
Dissolved,4,2,1.749
Dissolved,4,3,1.5421
Dissolved,4,4,0.6403
Dissolved,4,5,0.9709
Dissolved,4,6,1.8567
Dissolved,4,7,0.9714
Dissolved,4,8,1.5839
Dissolved,4,9,1.8863
Dissolved,4,10,1.9473